"Step","CFR_300r_1e_FAWE - local_eval_accuracy","CFR_300r_1e_FAWE - local_eval_accuracy__MIN","CFR_300r_1e_FAWE - local_eval_accuracy__MAX"
"658","0.8708","0.8708","0.8708"
"661","0.8788","0.8788","0.8788"
"663","0.8712","0.8712","0.8712"
"666","0.8856","0.8856","0.8856"
"668","0.8684","0.8684","0.8684"
"671","0.8784","0.8784","0.8784"
"673","0.8736","0.8736","0.8736"
"676","0.8888","0.8888","0.8888"
"678","0.8764","0.8764","0.8764"
"681","0.8768","0.8768","0.8768"
"683","0.8808","0.8808","0.8808"
"686","0.8748","0.8748","0.8748"
"688","0.878","0.878","0.878"
"691","0.8792","0.8792","0.8792"
"693","0.874","0.874","0.874"
"696","0.8872","0.8872","0.8872"
"698","0.8804","0.8804","0.8804"
"701","0.882","0.882","0.882"
"703","0.8832","0.8832","0.8832"
"706","0.8832","0.8832","0.8832"
"708","0.8884","0.8884","0.8884"
"711","0.8752","0.8752","0.8752"
"713","0.8752","0.8752","0.8752"
"716","0.8848","0.8848","0.8848"
"718","0.8784","0.8784","0.8784"
"721","0.8864","0.8864","0.8864"
"723","0.8816","0.8816","0.8816"
"726","0.8876","0.8876","0.8876"
"728","0.8796","0.8796","0.8796"
"731","0.8836","0.8836","0.8836"
"733","0.88","0.88","0.88"
"736","0.8828","0.8828","0.8828"
"738","0.8864","0.8864","0.8864"
"741","0.8848","0.8848","0.8848"
"743","0.8716","0.8716","0.8716"
"746","0.8868","0.8868","0.8868"
"748","0.8804","0.8804","0.8804"
"751","0.8948","0.8948","0.8948"
"753","0.8772","0.8772","0.8772"
"756","0.8904","0.8904","0.8904"
"758","0.8804","0.8804","0.8804"
"761","0.8864","0.8864","0.8864"
"763","0.8772","0.8772","0.8772"
"766","0.8868","0.8868","0.8868"
"768","0.8896","0.8896","0.8896"
"771","0.8856","0.8856","0.8856"
"773","0.8884","0.8884","0.8884"
"776","0.8828","0.8828","0.8828"
"778","0.88","0.88","0.88"
"781","0.886","0.886","0.886"
"783","0.8824","0.8824","0.8824"
"786","0.884","0.884","0.884"
"788","0.888","0.888","0.888"
"791","0.882","0.882","0.882"
"793","0.8836","0.8836","0.8836"
"796","0.8868","0.8868","0.8868"
"798","0.8864","0.8864","0.8864"
"801","0.8808","0.8808","0.8808"
"803","0.8864","0.8864","0.8864"
"806","0.89","0.89","0.89"
"808","0.8872","0.8872","0.8872"
"811","0.8912","0.8912","0.8912"
"813","0.8844","0.8844","0.8844"
"816","0.8828","0.8828","0.8828"
"818","0.8864","0.8864","0.8864"
"821","0.8888","0.8888","0.8888"
"823","0.8764","0.8764","0.8764"
"826","0.8828","0.8828","0.8828"
"828","0.8816","0.8816","0.8816"
"831","0.8972","0.8972","0.8972"
